날짜,시간,종가
2022/03/31,15:10:00,366.1
2022/03/31,15:05:00,366.1
2022/03/31,15:00:00,365.9
2022/03/31,14:55:00,365.7
2022/03/31,14:50:00,365.7
2022/03/31,14:45:00,365.8
2022/03/31,14:40:00,366.15
2022/03/31,14:35:00,366.2
2022/03/31,14:30:00,366.3
2022/03/31,14:25:00,366.4
2022/03/31,14:20:00,366.55
2022/03/31,14:15:00,366.75
2022/03/31,14:10:00,366.5
2022/03/31,14:05:00,366.25
2022/03/31,14:00:00,366.5
2022/03/31,13:55:00,366.6
2022/03/31,13:50:00,366.65
2022/03/31,13:45:00,366.7
2022/03/31,13:40:00,366.4
2022/03/31,13:35:00,366.55
2022/03/31,13:30:00,366.45
2022/03/31,13:25:00,366.45
2022/03/31,13:20:00,366.4
2022/03/31,13:15:00,366.6
2022/03/31,13:10:00,366.5
2022/03/31,13:05:00,366.7
2022/03/31,13:00:00,366.8
2022/03/31,12:55:00,366.7
2022/03/31,12:50:00,366.7
2022/03/31,12:45:00,366.85
2022/03/31,12:40:00,366.9
2022/03/31,12:35:00,366.9
2022/03/31,12:30:00,367.05
2022/03/31,12:25:00,367.25
2022/03/31,12:20:00,367.05
2022/03/31,12:15:00,366.95
2022/03/31,12:10:00,366.85
2022/03/31,12:05:00,367
2022/03/31,12:00:00,367.1
2022/03/31,11:55:00,367.05
2022/03/31,11:50:00,367
2022/03/31,11:45:00,367
2022/03/31,11:40:00,367.05
2022/03/31,11:35:00,367.25
2022/03/31,11:30:00,367.2
2022/03/31,11:25:00,367.05
2022/03/31,11:20:00,367.1
2022/03/31,11:15:00,367.2
2022/03/31,11:10:00,367
2022/03/31,11:05:00,366.8
2022/03/31,11:00:00,366.5
2022/03/31,10:55:00,366.8
2022/03/31,10:50:00,366.8
2022/03/31,10:45:00,366.85
2022/03/31,10:40:00,366.75
2022/03/31,10:35:00,367.3
2022/03/31,10:30:00,367.65
2022/03/31,10:25:00,367.3
2022/03/31,10:20:00,367.05
2022/03/31,10:15:00,366.8
2022/03/31,10:10:00,366.95
2022/03/31,10:05:00,367
2022/03/31,10:00:00,367.05
2022/03/31,09:55:00,367.3
2022/03/31,09:50:00,367.4
2022/03/31,09:45:00,367.15
2022/03/31,09:40:00,367.05
2022/03/31,09:35:00,366.9
2022/03/31,09:30:00,367.1
2022/03/31,09:25:00,366.7
2022/03/31,09:20:00,366.75
2022/03/31,09:15:00,366.1
2022/03/31,09:10:00,366.1
2022/03/31,09:05:00,365.6
2022/03/31,09:00:00,364.85
2022/03/30,15:45:00,364.75
2022/03/30,15:30:00,365
2022/03/30,15:25:00,365.05
2022/03/30,15:20:00,364.95
2022/03/30,15:15:00,364.95
2022/03/30,15:10:00,364.9
2022/03/30,15:05:00,365.1
2022/03/30,15:00:00,365.3
2022/03/30,14:55:00,365.55
2022/03/30,14:50:00,365.3
2022/03/30,14:45:00,365.35
2022/03/30,14:40:00,365.2
2022/03/30,14:35:00,365.3
2022/03/30,14:30:00,365
2022/03/30,14:25:00,365.05
2022/03/30,14:20:00,364.95
2022/03/30,14:15:00,364.85
2022/03/30,14:10:00,365
2022/03/30,14:05:00,365.15
2022/03/30,14:00:00,365
2022/03/30,13:55:00,364.75
2022/03/30,13:50:00,364.6
2022/03/30,13:45:00,364.55
2022/03/30,13:40:00,364.3
2022/03/30,13:35:00,365.1
2022/03/30,13:30:00,365.35
2022/03/30,13:25:00,365.55
2022/03/30,13:20:00,365.8
2022/03/30,13:15:00,365.85
2022/03/30,13:10:00,365.8
2022/03/30,13:05:00,365.8
2022/03/30,13:00:00,365.7
2022/03/30,12:55:00,365.55
2022/03/30,12:50:00,365.5
2022/03/30,12:45:00,365.65
2022/03/30,12:40:00,365.6
2022/03/30,12:35:00,365.4
2022/03/30,12:30:00,365.4
2022/03/30,12:25:00,365.3
2022/03/30,12:20:00,365.3
2022/03/30,12:15:00,365.4
2022/03/30,12:10:00,365.3
2022/03/30,12:05:00,365.4
2022/03/30,12:00:00,365.55
2022/03/30,11:55:00,365.3
2022/03/30,11:50:00,365.55
2022/03/30,11:45:00,365.35
2022/03/30,11:40:00,365.2
2022/03/30,11:35:00,365.2
2022/03/30,11:30:00,365.35
2022/03/30,11:25:00,365.55
2022/03/30,11:20:00,365.6
2022/03/30,11:15:00,365.55
2022/03/30,11:10:00,365.45
2022/03/30,11:05:00,365.55
2022/03/30,11:00:00,365.25
2022/03/30,10:55:00,365.4
2022/03/30,10:50:00,365.45
2022/03/30,10:45:00,365.35
2022/03/30,10:40:00,365.75
2022/03/30,10:35:00,365.65
2022/03/30,10:30:00,365.9
2022/03/30,10:25:00,365.65
2022/03/30,10:20:00,365.35
2022/03/30,10:15:00,365.15
2022/03/30,10:10:00,365.2
2022/03/30,10:05:00,365.45
2022/03/30,10:00:00,365.4
2022/03/30,09:55:00,365.85
2022/03/30,09:50:00,365.75
2022/03/30,09:45:00,366.35
2022/03/30,09:40:00,366.15
2022/03/30,09:35:00,366.25
2022/03/30,09:30:00,366.65
2022/03/30,09:25:00,366.45
2022/03/30,09:20:00,366.3
2022/03/30,09:15:00,366.7
2022/03/30,09:10:00,367.2
2022/03/30,09:05:00,367.05
2022/03/30,09:00:00,366.65
2022/03/29,15:45:00,363.55
2022/03/29,15:30:00,363.45
2022/03/29,15:25:00,363.65
2022/03/29,15:20:00,363.6
2022/03/29,15:15:00,363.6
2022/03/29,15:10:00,363.55
2022/03/29,15:05:00,363.5
2022/03/29,15:00:00,363.5
2022/03/29,14:55:00,363.45
2022/03/29,14:50:00,363.3
2022/03/29,14:45:00,363.25
2022/03/29,14:40:00,363.3
2022/03/29,14:35:00,363.15
2022/03/29,14:30:00,363.4
2022/03/29,14:25:00,363.1
2022/03/29,14:20:00,363
2022/03/29,14:15:00,362.9
2022/03/29,14:10:00,362.65
2022/03/29,14:05:00,362.55
2022/03/29,14:00:00,362.7
2022/03/29,13:55:00,362.75
2022/03/29,13:50:00,362.85
2022/03/29,13:45:00,362.7
2022/03/29,13:40:00,362.6
2022/03/29,13:35:00,362.45
2022/03/29,13:30:00,362.5
2022/03/29,13:25:00,362.5
2022/03/29,13:20:00,362.45
2022/03/29,13:15:00,362.6
2022/03/29,13:10:00,362.75
2022/03/29,13:05:00,362.65
2022/03/29,13:00:00,362.75
2022/03/29,12:55:00,362.65
2022/03/29,12:50:00,362.6
2022/03/29,12:45:00,362.7
2022/03/29,12:40:00,362.65
2022/03/29,12:35:00,362.65
2022/03/29,12:30:00,362.7
2022/03/29,12:25:00,362.9
2022/03/29,12:20:00,363.15
2022/03/29,12:15:00,362.9
2022/03/29,12:10:00,363
2022/03/29,12:05:00,362.9
2022/03/29,12:00:00,362.75
2022/03/29,11:55:00,362.85
2022/03/29,11:50:00,362.85
2022/03/29,11:45:00,362.75
2022/03/29,11:40:00,362.6
2022/03/29,11:35:00,362.35
2022/03/29,11:30:00,362.8
2022/03/29,11:25:00,363
2022/03/29,11:20:00,363
2022/03/29,11:15:00,362.9
2022/03/29,11:10:00,363.1
2022/03/29,11:05:00,363.35
2022/03/29,11:00:00,363.55
2022/03/29,10:55:00,363.8
2022/03/29,10:50:00,363.95
2022/03/29,10:45:00,363.8
2022/03/29,10:40:00,363.8
2022/03/29,10:35:00,363.5
2022/03/29,10:30:00,363.25
2022/03/29,10:25:00,363.3
2022/03/29,10:20:00,363.45
2022/03/29,10:15:00,363.45
2022/03/29,10:10:00,363.15
2022/03/29,10:05:00,362.9
2022/03/29,10:00:00,363
2022/03/29,09:55:00,362.75
2022/03/29,09:50:00,362.85
2022/03/29,09:45:00,362.9
2022/03/29,09:40:00,363.15
2022/03/29,09:35:00,363.3
2022/03/29,09:30:00,363.25
2022/03/29,09:25:00,363
2022/03/29,09:20:00,363.55
2022/03/29,09:15:00,363.35
2022/03/29,09:10:00,364.15
2022/03/29,09:05:00,364.65
2022/03/29,09:00:00,365.05
2022/03/28,15:45:00,362.45
2022/03/28,15:30:00,362.45
2022/03/28,15:25:00,361.95
2022/03/28,15:20:00,361.8
2022/03/28,15:15:00,361.6
2022/03/28,15:10:00,361.35
2022/03/28,15:05:00,361.15
2022/03/28,15:00:00,361.45
2022/03/28,14:55:00,361.7
2022/03/28,14:50:00,361.75
2022/03/28,14:45:00,361.7
2022/03/28,14:40:00,361.7
2022/03/28,14:35:00,361.9
2022/03/28,14:30:00,361.85
2022/03/28,14:25:00,362.25
2022/03/28,14:20:00,362.4
2022/03/28,14:15:00,361.8
2022/03/28,14:10:00,362.1
2022/03/28,14:05:00,362
2022/03/28,14:00:00,362.1
2022/03/28,13:55:00,362.35
2022/03/28,13:50:00,362.45
2022/03/28,13:45:00,362.5
2022/03/28,13:40:00,362.5
2022/03/28,13:35:00,362.6
2022/03/28,13:30:00,362.55
2022/03/28,13:25:00,362.05
2022/03/28,13:20:00,362.1
2022/03/28,13:15:00,361.9
2022/03/28,13:10:00,361.7
2022/03/28,13:05:00,361.95
2022/03/28,13:00:00,362.1
2022/03/28,12:55:00,361.8
2022/03/28,12:50:00,361.65
2022/03/28,12:45:00,361.85
2022/03/28,12:40:00,361.9
2022/03/28,12:35:00,361.85
2022/03/28,12:30:00,361.85
2022/03/28,12:25:00,361.95
2022/03/28,12:20:00,362.1
2022/03/28,12:15:00,362.25
2022/03/28,12:10:00,361.9
2022/03/28,12:05:00,361.85
2022/03/28,12:00:00,361.8
2022/03/28,11:55:00,361.55
2022/03/28,11:50:00,361.7
2022/03/28,11:45:00,361.7
2022/03/28,11:40:00,361.7
2022/03/28,11:35:00,361.5
2022/03/28,11:30:00,361.2
2022/03/28,11:25:00,361.35
2022/03/28,11:20:00,361.5
2022/03/28,11:15:00,361.2
2022/03/28,11:10:00,361.15
2022/03/28,11:05:00,361.2
2022/03/28,11:00:00,360.85
2022/03/28,10:55:00,360.15
2022/03/28,10:50:00,360.25
2022/03/28,10:45:00,359.8
2022/03/28,10:40:00,359.65
2022/03/28,10:35:00,359.85
2022/03/28,10:30:00,359.75
2022/03/28,10:25:00,359.6
2022/03/28,10:20:00,359.45
2022/03/28,10:15:00,359.45
2022/03/28,10:10:00,359.7
2022/03/28,10:05:00,359.2
2022/03/28,10:00:00,359.05
2022/03/28,09:55:00,358.9
2022/03/28,09:50:00,359.2
2022/03/28,09:45:00,359.45
2022/03/28,09:40:00,360
2022/03/28,09:35:00,360.2
2022/03/28,09:30:00,359.55
2022/03/28,09:25:00,359.8
2022/03/28,09:20:00,359.2
2022/03/28,09:15:00,358.9
2022/03/28,09:10:00,359.1
2022/03/28,09:05:00,358.55
2022/03/28,09:00:00,358.5
2022/03/25,15:45:00,361.75
2022/03/25,15:30:00,361.8
2022/03/25,15:25:00,361.7
2022/03/25,15:20:00,361.85
2022/03/25,15:15:00,361.85
2022/03/25,15:10:00,361.9
2022/03/25,15:05:00,361.9
2022/03/25,15:00:00,361.8
2022/03/25,14:55:00,361.65
2022/03/25,14:50:00,361.65
2022/03/25,14:45:00,361.75
2022/03/25,14:40:00,361.6
2022/03/25,14:35:00,361.9
2022/03/25,14:30:00,362
2022/03/25,14:25:00,362
2022/03/25,14:20:00,362.15
2022/03/25,14:15:00,362.25
2022/03/25,14:10:00,362.15
2022/03/25,14:05:00,362.05
2022/03/25,14:00:00,362.2
2022/03/25,13:55:00,362.25
2022/03/25,13:50:00,362
2022/03/25,13:45:00,362.15
2022/03/25,13:40:00,362.1
2022/03/25,13:35:00,361.95
2022/03/25,13:30:00,361.8
2022/03/25,13:25:00,361.75
2022/03/25,13:20:00,361.6
2022/03/25,13:15:00,361.65
2022/03/25,13:10:00,361.85
2022/03/25,13:05:00,361.8
2022/03/25,13:00:00,361.75
2022/03/25,12:55:00,361.55
2022/03/25,12:50:00,361.45
2022/03/25,12:45:00,361.25
2022/03/25,12:40:00,361.1
2022/03/25,12:35:00,361.4
2022/03/25,12:30:00,361.55
2022/03/25,12:25:00,361.25
2022/03/25,12:20:00,361.4
2022/03/25,12:15:00,361.45
2022/03/25,12:10:00,361.55
2022/03/25,12:05:00,361.5
2022/03/25,12:00:00,361.65
2022/03/25,11:55:00,361.8
2022/03/25,11:50:00,361.75
2022/03/25,11:45:00,361.95
2022/03/25,11:40:00,362
2022/03/25,11:35:00,361.95
2022/03/25,11:30:00,361.8
2022/03/25,11:25:00,361.95
2022/03/25,11:20:00,362
2022/03/25,11:15:00,362.45
2022/03/25,11:10:00,362.35
2022/03/25,11:05:00,362.55
2022/03/25,11:00:00,362.6
2022/03/25,10:55:00,362.95
2022/03/25,10:50:00,362.8
2022/03/25,10:45:00,361.95
2022/03/25,10:40:00,361.75
2022/03/25,10:35:00,361.65
2022/03/25,10:30:00,361.35
2022/03/25,10:25:00,361.15
2022/03/25,10:20:00,361.05
2022/03/25,10:15:00,361.45
2022/03/25,10:10:00,361.15
2022/03/25,10:05:00,361.25
2022/03/25,10:00:00,361
2022/03/25,09:55:00,361
2022/03/25,09:50:00,360.95
2022/03/25,09:45:00,360.9
2022/03/25,09:40:00,361.55
2022/03/25,09:35:00,361.55
2022/03/25,09:30:00,361.7
2022/03/25,09:25:00,361.75
2022/03/25,09:20:00,361.6
2022/03/25,09:15:00,361.8
2022/03/25,09:10:00,362
2022/03/25,09:05:00,362.4
2022/03/25,09:00:00,362.95
2022/03/24,15:45:00,362.5
2022/03/24,15:30:00,362.85
2022/03/24,15:25:00,363
2022/03/24,15:20:00,362.9
2022/03/24,15:15:00,362.85
2022/03/24,15:10:00,363.1
2022/03/24,15:05:00,362.65
2022/03/24,15:00:00,362.9
2022/03/24,14:55:00,362.95
2022/03/24,14:50:00,362.95
2022/03/24,14:45:00,363
2022/03/24,14:40:00,362.85
2022/03/24,14:35:00,362.85
2022/03/24,14:30:00,362.4
2022/03/24,14:25:00,362.15
2022/03/24,14:20:00,362.25
2022/03/24,14:15:00,362.25
2022/03/24,14:10:00,362.45
2022/03/24,14:05:00,362.45
2022/03/24,14:00:00,362.3
2022/03/24,13:55:00,362.1
2022/03/24,13:50:00,362.15
2022/03/24,13:45:00,362.25
2022/03/24,13:40:00,362.15
2022/03/24,13:35:00,362.15
2022/03/24,13:30:00,362.05
2022/03/24,13:25:00,361.9
2022/03/24,13:20:00,362.15
2022/03/24,13:15:00,362.15
2022/03/24,13:10:00,362
2022/03/24,13:05:00,362.1
2022/03/24,13:00:00,362.1
2022/03/24,12:55:00,361.95
2022/03/24,12:50:00,361.95
2022/03/24,12:45:00,361.65
2022/03/24,12:40:00,361.5
2022/03/24,12:35:00,361.5
2022/03/24,12:30:00,361.7
2022/03/24,12:25:00,361.5
2022/03/24,12:20:00,361.5
2022/03/24,12:15:00,361.55
2022/03/24,12:10:00,361.65
2022/03/24,12:05:00,361.65
2022/03/24,12:00:00,361.6
2022/03/24,11:55:00,361.75
2022/03/24,11:50:00,361.55
2022/03/24,11:45:00,361.85
2022/03/24,11:40:00,361.55
2022/03/24,11:35:00,361.35
2022/03/24,11:30:00,361.25
2022/03/24,11:25:00,361.1
2022/03/24,11:20:00,361
2022/03/24,11:15:00,361.05
2022/03/24,11:10:00,360.95
2022/03/24,11:05:00,361.3
2022/03/24,11:00:00,361.2
2022/03/24,10:55:00,361.25
2022/03/24,10:50:00,361.1
2022/03/24,10:45:00,360.85
2022/03/24,10:40:00,361.05
2022/03/24,10:35:00,360.95
2022/03/24,10:30:00,360.5
2022/03/24,10:25:00,360.2
2022/03/24,10:20:00,360.6
2022/03/24,10:15:00,361.1
2022/03/24,10:10:00,361.05
2022/03/24,10:05:00,361.35
2022/03/24,10:00:00,361.45
2022/03/24,09:55:00,361.65
2022/03/24,09:50:00,361.35
2022/03/24,09:45:00,361.55
2022/03/24,09:40:00,361.4
2022/03/24,09:35:00,361.1
2022/03/24,09:30:00,361
2022/03/24,09:25:00,360.9
2022/03/24,09:20:00,361.7
2022/03/24,09:15:00,362.15
2022/03/24,09:10:00,362
2022/03/24,09:05:00,362.2
2022/03/24,09:00:00,361.75
2022/03/23,15:45:00,364.25
2022/03/23,15:30:00,364.4
2022/03/23,15:25:00,364.7
2022/03/23,15:20:00,364.7
2022/03/23,15:15:00,364.6
2022/03/23,15:10:00,364.7
2022/03/23,15:05:00,364.7
2022/03/23,15:00:00,364.45
2022/03/23,14:55:00,364.45
2022/03/23,14:50:00,364.5
2022/03/23,14:45:00,364.3
2022/03/23,14:40:00,364.25
2022/03/23,14:35:00,364.2
2022/03/23,14:30:00,364.2
2022/03/23,14:25:00,364.45
2022/03/23,14:20:00,364.35
2022/03/23,14:15:00,363.9
2022/03/23,14:10:00,363.9
2022/03/23,14:05:00,363.7
2022/03/23,14:00:00,363.8
2022/03/23,13:55:00,363.9
2022/03/23,13:50:00,363.6
2022/03/23,13:45:00,363.5
2022/03/23,13:40:00,363.4
2022/03/23,13:35:00,363.15
2022/03/23,13:30:00,363.1
2022/03/23,13:25:00,363.2
2022/03/23,13:20:00,363.1
2022/03/23,13:15:00,362.8
2022/03/23,13:10:00,363.35
2022/03/23,13:05:00,363.5
2022/03/23,13:00:00,363.35
2022/03/23,12:55:00,363.2
2022/03/23,12:50:00,363.35
2022/03/23,12:45:00,363.3
2022/03/23,12:40:00,363.15
2022/03/23,12:35:00,363.4
2022/03/23,12:30:00,363.4
2022/03/23,12:25:00,363.35
2022/03/23,12:20:00,363.4
2022/03/23,12:15:00,363.35
2022/03/23,12:10:00,363.45
2022/03/23,12:05:00,363.8
2022/03/23,12:00:00,364.35
2022/03/23,11:55:00,364.05
2022/03/23,11:50:00,364.2
2022/03/23,11:45:00,364.3
2022/03/23,11:40:00,364.4
2022/03/23,11:35:00,364.15
2022/03/23,11:30:00,364.4
2022/03/23,11:25:00,364.2
2022/03/23,11:20:00,364.3
2022/03/23,11:15:00,364.4
2022/03/23,11:10:00,364.1
2022/03/23,11:05:00,364.2
2022/03/23,11:00:00,364.4
2022/03/23,10:55:00,364.6
2022/03/23,10:50:00,364.35
2022/03/23,10:45:00,364.1
2022/03/23,10:40:00,364.4
2022/03/23,10:35:00,364.1
2022/03/23,10:30:00,364.3
2022/03/23,10:25:00,364.2
2022/03/23,10:20:00,363.95
2022/03/23,10:15:00,364.3
2022/03/23,10:10:00,364.55
2022/03/23,10:05:00,364.95
2022/03/23,10:00:00,364.95
2022/03/23,09:55:00,364.6
2022/03/23,09:50:00,364.8
2022/03/23,09:45:00,365.5
2022/03/23,09:40:00,365.3
2022/03/23,09:35:00,365.55
2022/03/23,09:30:00,365.95
2022/03/23,09:25:00,366.25
2022/03/23,09:20:00,365.85
2022/03/23,09:15:00,365.75
2022/03/23,09:10:00,365.85
2022/03/23,09:05:00,365.45
2022/03/23,09:00:00,364.9
2022/03/22,15:45:00,361.4
2022/03/22,15:30:00,361.35
2022/03/22,15:25:00,361.65
2022/03/22,15:20:00,361.6
2022/03/22,15:15:00,361.6
2022/03/22,15:10:00,361.7
2022/03/22,15:05:00,361.5
2022/03/22,15:00:00,361.7
2022/03/22,14:55:00,361.45
2022/03/22,14:50:00,361.7
2022/03/22,14:45:00,361.6
2022/03/22,14:40:00,361.65
2022/03/22,14:35:00,361.5
2022/03/22,14:30:00,361.3
2022/03/22,14:25:00,361.1
2022/03/22,14:20:00,360.75
2022/03/22,14:15:00,360.7
2022/03/22,14:10:00,360.45
2022/03/22,14:05:00,360.35
2022/03/22,14:00:00,360.7
2022/03/22,13:55:00,360.7
2022/03/22,13:50:00,360.55
2022/03/22,13:45:00,360.4
2022/03/22,13:40:00,360.6
2022/03/22,13:35:00,360.7
2022/03/22,13:30:00,360.85
2022/03/22,13:25:00,360.7
2022/03/22,13:20:00,360.7
2022/03/22,13:15:00,361.1
2022/03/22,13:10:00,361.25
2022/03/22,13:05:00,361.1
2022/03/22,13:00:00,361.35
2022/03/22,12:55:00,361.1
2022/03/22,12:50:00,361.35
2022/03/22,12:45:00,361.35
2022/03/22,12:40:00,361.25
2022/03/22,12:35:00,361.25
2022/03/22,12:30:00,361.1
2022/03/22,12:25:00,361.25
2022/03/22,12:20:00,361
2022/03/22,12:15:00,361.05
2022/03/22,12:10:00,360.75
2022/03/22,12:05:00,361.15
2022/03/22,12:00:00,361.25
2022/03/22,11:55:00,361.4
2022/03/22,11:50:00,361.55
2022/03/22,11:45:00,361.65
2022/03/22,11:40:00,361.3
2022/03/22,11:35:00,361
2022/03/22,11:30:00,360.6
2022/03/22,11:25:00,360.9
2022/03/22,11:20:00,361
2022/03/22,11:15:00,361
2022/03/22,11:10:00,361.15
2022/03/22,11:05:00,361.3
2022/03/22,11:00:00,361.45
2022/03/22,10:55:00,361.2
2022/03/22,10:50:00,361.25
2022/03/22,10:45:00,360.9
2022/03/22,10:40:00,360.85
2022/03/22,10:35:00,361.2
2022/03/22,10:30:00,361
2022/03/22,10:25:00,361.1
2022/03/22,10:20:00,360.85
2022/03/22,10:15:00,360.95
2022/03/22,10:10:00,360.65
2022/03/22,10:05:00,360.35
2022/03/22,10:00:00,360.15
2022/03/22,09:55:00,360.1
2022/03/22,09:50:00,359.8
2022/03/22,09:45:00,360.25
2022/03/22,09:40:00,360.8
2022/03/22,09:35:00,360.6
2022/03/22,09:30:00,360.8
2022/03/22,09:25:00,360.45
2022/03/22,09:20:00,359.75
2022/03/22,09:15:00,359.7
2022/03/22,09:10:00,359.35
2022/03/22,09:05:00,359.25
2022/03/22,09:00:00,359.75
2022/03/21,15:45:00,358.75
2022/03/21,15:30:00,358.4
2022/03/21,15:25:00,358.55
2022/03/21,15:20:00,358.6
2022/03/21,15:15:00,358.55
2022/03/21,15:10:00,358.5
2022/03/21,15:05:00,358.45
2022/03/21,15:00:00,358.55
2022/03/21,14:55:00,358.15
2022/03/21,14:50:00,358.35
2022/03/21,14:45:00,357.95
2022/03/21,14:40:00,358.25
2022/03/21,14:35:00,358.4
2022/03/21,14:30:00,358.55
2022/03/21,14:25:00,358.7
2022/03/21,14:20:00,358.5
2022/03/21,14:15:00,358.45
2022/03/21,14:10:00,358.7
2022/03/21,14:05:00,359.1
2022/03/21,14:00:00,359.3
2022/03/21,13:55:00,359.7
2022/03/21,13:50:00,359.45
2022/03/21,13:45:00,359.65
2022/03/21,13:40:00,359.7
2022/03/21,13:35:00,359.65
2022/03/21,13:30:00,359.7
2022/03/21,13:25:00,359.7
2022/03/21,13:20:00,359.75
2022/03/21,13:15:00,359.7
2022/03/21,13:10:00,359.5
2022/03/21,13:05:00,359.6
2022/03/21,13:00:00,359.7
2022/03/21,12:55:00,359.95
2022/03/21,12:50:00,359.8
2022/03/21,12:45:00,359.9
2022/03/21,12:40:00,359.9
2022/03/21,12:35:00,359.7
2022/03/21,12:30:00,359.65
2022/03/21,12:25:00,359.65
2022/03/21,12:20:00,359.8
2022/03/21,12:15:00,359.5
2022/03/21,12:10:00,359.75
2022/03/21,12:05:00,359.8
2022/03/21,12:00:00,359.9
2022/03/21,11:55:00,360.05
2022/03/21,11:50:00,360.05
2022/03/21,11:45:00,360.2
2022/03/21,11:40:00,360.15
2022/03/21,11:35:00,360.2
2022/03/21,11:30:00,360.1
2022/03/21,11:25:00,360.25
2022/03/21,11:20:00,360.05
2022/03/21,11:15:00,360.05
2022/03/21,11:10:00,360.3
2022/03/21,11:05:00,360.15
2022/03/21,11:00:00,360.15
2022/03/21,10:55:00,359.75
2022/03/21,10:50:00,359.95
2022/03/21,10:45:00,360.25
2022/03/21,10:40:00,360.1
2022/03/21,10:35:00,360.35
2022/03/21,10:30:00,360.05
2022/03/21,10:25:00,360.5
2022/03/21,10:20:00,360.45
2022/03/21,10:15:00,360.85
2022/03/21,10:10:00,361
2022/03/21,10:05:00,361.2
2022/03/21,10:00:00,361.4
2022/03/21,09:55:00,361.55
2022/03/21,09:50:00,361.25
2022/03/21,09:45:00,360.9
2022/03/21,09:40:00,360.85
2022/03/21,09:35:00,361.1
2022/03/21,09:30:00,361
2022/03/21,09:25:00,360.6
2022/03/21,09:20:00,360.75
2022/03/21,09:15:00,361.2
2022/03/21,09:10:00,361.35
2022/03/21,09:05:00,361.15
2022/03/21,09:00:00,361.6
2022/03/18,15:45:00,362
2022/03/18,15:30:00,362.05
2022/03/18,15:25:00,362.05
2022/03/18,15:20:00,362.05
2022/03/18,15:15:00,362.2
2022/03/18,15:10:00,362.15
2022/03/18,15:05:00,362
2022/03/18,15:00:00,361.75
2022/03/18,14:55:00,361.9
2022/03/18,14:50:00,361.7
2022/03/18,14:45:00,361.7
2022/03/18,14:40:00,361.4
2022/03/18,14:35:00,361.3
2022/03/18,14:30:00,361.25
2022/03/18,14:25:00,361.15
2022/03/18,14:20:00,361.25
2022/03/18,14:15:00,361.2
2022/03/18,14:10:00,361
2022/03/18,14:05:00,360.8
2022/03/18,14:00:00,360.6
2022/03/18,13:55:00,360.5
2022/03/18,13:50:00,360.35
2022/03/18,13:45:00,360.35
2022/03/18,13:40:00,360.7
2022/03/18,13:35:00,360.5
2022/03/18,13:30:00,360.45
2022/03/18,13:25:00,360.5
