날짜,시간,종가
2022/04/01,15:45:00,363.5
2022/04/01,15:30:00,363.4
2022/04/01,15:25:00,363.4
2022/04/01,15:20:00,363.45
2022/04/01,15:15:00,363.25
2022/04/01,15:10:00,363.1
2022/04/01,15:05:00,363.05
2022/04/01,15:00:00,363.1
2022/04/01,14:55:00,363.25
2022/04/01,14:50:00,363.45
2022/04/01,14:45:00,363.55
2022/04/01,14:40:00,363.65
2022/04/01,14:35:00,363.45
2022/04/01,14:30:00,363.4
2022/04/01,14:25:00,363.4
2022/04/01,14:20:00,363.55
2022/04/01,14:15:00,363.5
2022/04/01,14:10:00,363.6
2022/04/01,14:05:00,363.4
2022/04/01,14:00:00,363.35
2022/04/01,13:55:00,363.15
2022/04/01,13:50:00,363.2
2022/04/01,13:45:00,363.2
2022/04/01,13:40:00,363.05
2022/04/01,13:35:00,363.25
2022/04/01,13:30:00,363.3
2022/04/01,13:25:00,363.4
2022/04/01,13:20:00,363.35
2022/04/01,13:15:00,363.4
2022/04/01,13:10:00,363.45
2022/04/01,13:05:00,363.5
2022/04/01,13:00:00,363.55
2022/04/01,12:55:00,363.6
2022/04/01,12:50:00,363.55
2022/04/01,12:45:00,363.6
2022/04/01,12:40:00,363.6
2022/04/01,12:35:00,363.6
2022/04/01,12:30:00,363.65
2022/04/01,12:25:00,363.85
2022/04/01,12:20:00,363.8
2022/04/01,12:15:00,363.85
2022/04/01,12:10:00,363.8
2022/04/01,12:05:00,363.65
2022/04/01,12:00:00,363.75
2022/04/01,11:55:00,363.7
2022/04/01,11:50:00,363.65
2022/04/01,11:45:00,363.95
2022/04/01,11:40:00,363.8
2022/04/01,11:35:00,363.75
2022/04/01,11:30:00,363.55
2022/04/01,11:25:00,363.1
2022/04/01,11:20:00,363.15
2022/04/01,11:15:00,363.35
2022/04/01,11:10:00,363.2
2022/04/01,11:05:00,363.35
2022/04/01,11:00:00,363.4
2022/04/01,10:55:00,363.2
2022/04/01,10:50:00,363
2022/04/01,10:45:00,362.95
2022/04/01,10:40:00,362.95
2022/04/01,10:35:00,362.95
2022/04/01,10:30:00,363.5
2022/04/01,10:25:00,363.3
2022/04/01,10:20:00,362.95
2022/04/01,10:15:00,362.55
2022/04/01,10:10:00,362.55
2022/04/01,10:05:00,362.45
2022/04/01,10:00:00,362.6
2022/04/01,09:55:00,362.55
2022/04/01,09:50:00,362.15
2022/04/01,09:45:00,362.35
2022/04/01,09:40:00,362.3
2022/04/01,09:35:00,362.2
2022/04/01,09:30:00,361.85
2022/04/01,09:25:00,362.1
2022/04/01,09:20:00,362.3
2022/04/01,09:15:00,362.35
2022/04/01,09:10:00,362.5
2022/04/01,09:05:00,362.75
2022/04/01,09:00:00,363.55
2022/03/31,15:45:00,365.7
2022/03/31,15:30:00,365.8
2022/03/31,15:25:00,366.25
2022/03/31,15:20:00,366.1
2022/03/31,15:15:00,366.35
